,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
1506,1578,League of Legends,PC,27.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,6,10,27.0
1507,1579,League of Legends,PC,25.0,I play for fun,having fun,Female,22,Student at college / university,Bachelor or equivalent,Denmark,Multiplayer - online - with real life friends,16,11,18.0
1508,1580,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,2,24,18.0
1509,1581,League of Legends,PC,25.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with strangers,3,26,7.0
1510,1582,League of Legends,PC,40.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,9,22.0
1511,1583,League of Legends,PC,12.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Brazil,Multiplayer - online - with strangers,0,25,17.0
1512,1584,League of Legends,PC,20.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,4,20,15.0
1513,1585,League of Legends,PC,15.0,I play for fun,improving,Male,24,Employed,Master or equivalent,France,Multiplayer - online - with online acquaintances or teammates,14,9,53.0
1514,1586,League of Legends,PC,30.0,I play for fun,Everything from the list,Male,18,Student at school,,Czech Republic,Mix of online teammates and real life friends,5,24,17.0
1515,1587,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with strangers,2,26,16.0
1516,1588,League of Legends,PC,18.0,I play for fun,having fun,Male,20,Student at college / university,,Sweden,Multiplayer - online - with real life friends,1,19,4.0
1517,1589,League of Legends,PC,20.0,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,3,19,8.0
1518,1590,Counter Strike,PC,30.0,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,13,14,12.0
1519,1591,League of Legends,PC,60.0,I play for fun,having fun,Female,19,Unemployed / between jobs,High school diploma (or equivalent),Brazil,Both with real life friends and online friends,12,10,36.0
1520,1592,League of Legends,Console (PS  Xbox  ...),50.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with real life friends,4,14,
1521,1593,League of Legends,PC,15.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with real life friends,11,15,14.0
1522,1594,Other,PC,20.0,I play for fun,improving,Male,19,Student at college / university,,Germany,Multiplayer - online - with real life friends,6,20,
1523,1595,League of Legends,PC,10.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Colombia,Multiplayer - online - with real life friends,7,16,36.0
1524,1596,League of Legends,PC,8.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,Unknown,Singleplayer,5,10,9.0
1525,1597,World of Warcraft,PC,10.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,UK,Multiplayer - online with real life friends & online acquaintances. ,2,29,5.0
1526,1598,League of Legends,PC,20.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,9,19,27.0
1527,1599,League of Legends,PC,25.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Brazil,Multiplayer - online - with real life friends,10,18,33.0
1528,1600,League of Legends,PC,17.0,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Denmark,Multiplayer - online - with online acquaintances or teammates,3,24,
1529,1601,League of Legends,PC,5.0,I normally play for fun but I have won tiny amounts from tournaments before,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,9,17,29.0
1530,1602,League of Legends,PC,21.0,I play for fun,winning,Male,27,Student at college / university,Master or equivalent,Netherlands,Multiplayer - online - with online acquaintances or teammates,2,20,20.0
1531,1603,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,5,15,27.0
1532,1604,League of Legends,PC,25.0,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Sweden,Singleplayer,1,17,13.0
1533,1605,League of Legends,PC,20.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,0,22,12.0
1534,1606,Other,PC,40.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Unknown,Multiplayer - online - with online acquaintances or teammates,5,5,32.0
1535,1607,League of Legends,PC,20.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,Portugal,Multiplayer - online - with strangers,12,16,43.0
1536,1608,League of Legends,PC,12.0,I play for fun,winning,Male,21,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,0,23,3.0
1537,1609,League of Legends,PC,15.0,I play for fun,having fun,Male,26,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,0,30,2.0
1538,1610,League of Legends,PC,20.0,I earn a living by playing this game,improving,Male,21,Student at college / university,Bachelor or equivalent,Argentina,Multiplayer - online - with online acquaintances or teammates,3,20,19.0
1539,1611,League of Legends,PC,25.0,I play for fun,winning,Male,18,Student at college / university,Bachelor or equivalent,Venezuela,Multiplayer - online - with strangers,8,14,14.0
1540,1612,League of Legends,PC,10.0,I play for fun,improving,Male,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with strangers,0,22,6.0
1541,1613,League of Legends,PC,10.0,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Poland,Multiplayer - online - with online acquaintances or teammates,3,16,7.0
1542,1614,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Brazil,Multiplayer - online - with online acquaintances or teammates,3,20,25.0
1543,1615,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,31,6.0
1544,1616,League of Legends,PC,36.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Dominican Republic,Multiplayer - online - with strangers,3,25,12.0
1545,1617,League of Legends,PC,40.0,I play for fun,improving,Male,18,Student at school,,Canada,Multiplayer - online - with real life friends,1,22,9.0
1546,1618,League of Legends,PC,20.0,I play for fun,having fun,Male,21,Unemployed / between jobs,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,12,15,14.0
1547,1619,League of Legends,PC,25.0,I play for fun,winning,Male,18,Student at college / university,,Spain,Multiplayer - online - with strangers,8,16,27.0
1548,1620,League of Legends,PC,5.0,I play for fun,improving,Male,30,Employed,Master or equivalent,Hungary,Multiplayer - online - with real life friends,0,33,2.0
1549,1621,Other,Console (PS  Xbox  ...),35.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,19,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,5,10,18.0
1550,1622,League of Legends,PC,15.0,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,2,16,16.0
1551,1623,League of Legends,PC,15.0,I play for fun,improving,Male,20,Student at college / university,Bachelor or equivalent,UK,Multiplayer - online - with strangers,0,26,0.0
1552,1624,Diablo 3,PC,20.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,21,10.0
1553,1625,League of Legends,PC,4.0,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,12,23.0
1554,1626,League of Legends,PC,30.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,0,27,21.0
1555,1627,Other,Console (PS  Xbox  ...),40.0,I play for fun and most of the time only with my friends otherwise I have trouble having fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer online with friends and singleplayer,4,24,11.0
1556,1628,Counter Strike,PC,35.0,I play for fun,improving,Male,26,Employed,Bachelor or equivalent,France,Multiplayer - online - with online acquaintances or teammates,5,16,11.0
1557,1629,League of Legends,PC,30.0,I play for fun,improving,Male,29,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,6,26,23.0
1558,1630,League of Legends,PC,40.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,29,30.0
1559,1631,League of Legends,PC,12.0,I play for fun,improving,Male,23,Student at college / university,Master or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,3,30,18.0
1560,1632,League of Legends,PC,10.0,I play for fun,having fun,Male,24,Student at college / university,High school diploma (or equivalent),Portugal,Multiplayer - online - with online acquaintances or teammates,14,18,31.0
1561,1633,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,20,Unemployed / between jobs,,Uruguay,Multiplayer - online - with online acquaintances or teammates,12,14,40.0
1562,1634,League of Legends,PC,30.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,16,18,40.0
1563,1635,League of Legends,PC,13.0,I play for fun,having fun,Male,22,Student at college / university,Bachelor or equivalent,Denmark,Multiplayer - online - with real life friends,6,22,16.0
1564,1636,League of Legends,PC,20.0,I play for fun,relaxing,Male,29,Employed,High school diploma (or equivalent),Norway,Multiplayer - online - with strangers,0,9,4.0
